filename,title,medium,material,width_cm,height_cm,shape,year,description,uv_active,colour1,colour2,colour3,colour4,colour5,colour6,framed,series,price_eur,price_note,available,audio_url,audio_label
01 mdf.jpg,Ecotones 01,acrylic,mdf,33,33,square,2026,,yes,315888,EB7F3F,5E9DBD,746B45,81595E,E7E4E0,no,yes,360,,yes,,
02 mdf.jpg,Ecotones 02,acrylic,mdf,33,33,square,2026,,yes,2F6F92,CBD238,537578,48733A,32507B,679433,no,yes,360,,yes,,
03 mdf.jpg,Ecotones 03,acrylic,mdf,33,33,square,2026,,yes,B89A6A,ECECF3,3E6C48,8A8164,DAC6BD,A7A7A0,no,yes,360,,yes,,
04 mdf.jpg,Ecotones 04,acrylic,mdf,33,33,square,2026,,yes,2A4B75,E1C836,5D7DA0,3E614E,4E7F41,A4B03D,no,yes,360,,yes,,
05 mdf.jpg,Ecotones 05,acrylic,mdf,33,33,square,2026,,yes,5E98AA,5E9C54,488BB8,1F6D54,70C26E,22635B,no,yes,360,,yes,,
06 mdf.jpg,Ecotones 06,acrylic,mdf,33,33,square,2026,,yes,A3CC45,1A5E63,29763E,307264,81BC4A,499143,no,yes,360,,yes,,
07 mdf.jpg,Ecotones 07,acrylic,mdf,33,33,square,2026,,yes,BA4B10,DDCFCB,C6B02A,C9740A,B8AEAE,9D3C16,no,yes,360,,yes,,
08 mdf.jpg,Ecotones 08,acrylic,mdf,33,33,square,2026,,yes,AEBECD,8F5132,4B8884,D4E3DB,BF693E,3A4C33,no,yes,360,,yes,,
1-_MG_2374_sm.jpg,Plants and Planets,acrylic,hardboard,90.7,48.4,rectangle,2014,,yes,2B263D,A1252A,00C784,186FBE,F7970D,E9E05E,no,no,1200,,yes,,
2-_MG_2376_sm.jpg,"Clouds and Water, Snow and Night",acrylic,hardboard,75.5,47.9,rectangle,2014,,no,1E191D,D8E4E0,362F36,A2ACAB,1A564A,49746D,no,no,200,,yes,,
3-_MG_2377_sm.jpg,Off World,acrylic,hardboard,75.5,47.9,rectangle,2014,,no,72473D,F0EBE8,6C302E,302020,8E5F59,ABA3A1,no,no,280,,yes,,
4-_MG_2379_sm.png,Land Series: Bird with the Roses,oil,canvas,48.8,55.2,shaped,2015,,no,423F3F,74AF75,B4433E,96939C,537665,D2BD7B,no,yes,780,4-piece series price,yes,,
5-_MG_2381_sm.png,Land Series: Waterfall,oil,canvas,41,44,shaped,2015,,no,506C84,978261,5E6D5F,869091,3C5A7E,8BB9D6,no,yes,780,4-piece series price,yes,,
8-_MG_2384_sm.png,Land Series: Moons,oil,canvas,34,37,shaped,2015,,no,C67058,6A5857,C5DCD9,637581,94B690,4F5951,no,yes,780,4-piece series price,yes,,
9-_MG_2385_sm.png,Land Series: Land ways,oil,canvas,33.7,26.8,shaped,2015,,no,403A5C,C9A492,D19053,36353D,6A6262,C38958,no,yes,780,4-piece series price,yes,,
7-_MG_2383_sm.png,Turbulence,oil,canvas,68,40,shaped,2016,,no,A98556,685F56,534F69,7598B3,48474F,8EC8A1,no,no,500,,yes,,
City_sm.jpg,City,acrylic,hardboard,68,40,rectangle,2025,,yes,3B5E98,D1D2CE,FC3D47,D45371,AF3631,083739,no,no,800,,yes,,
Landscape_sm.jpg,Landscape,acrylic,hardboard,49.5,47.8,rectangle,2026,,yes,99B8C4,5A824D,4B7422,7A9AC6,A3458C,2C2B2D,no,no,560,,yes,,
Meadow_sm.jpg,Meadow,acrylic,hardboard,68,40,rectangle,2025,,yes,387AB7,677B74,C0482D,CAAD14,222E43,FA6296,no,no,990,,yes,,
Other_World_sm.jpg,Other World,acrylic,hardboard,68,40,rectangle,2026,,yes,5E6B60,6A915F,202138,3A4668,789E3A,981B10,no,no,780,,yes,,
Tree_sm.jpg,Tree,acrylic,hardboard,57.9,45.9,rectangle,2026,,yes,A3BDD8,5B697E,B29B7C,72573A,403134,20AC31,no,no,480,,yes,,
